reference	pageref	identified_name	identified_authority	identified_status	identified_note	assignment_confidence	morphological_information	accepted_name	lsid_act	formation	member	bed	zone	subzone	stage	series	system	location	country	utm_wgs84	latitude	longitude	comments	lsid_pub	synonym_id
Young1972MNIGP	28	Hupehsuchus nanchangensis	Young1972MNIGP	orig		v *	Y	Hupehsuchus nanchangensis	urn:lsid:zoobank.org:act:416BF673-273A-4F3D-99B3-F369DBEC6CEA	Jialingjiang Formation					upper Spathian	Lower Triassic	Triassic		CN					urn:lsid:zoobank.org:pub:D2CAD534-D3B0-4B2B-871F-7011E4B1EE74	67
Young1972MNIGP	7	Himalayasaurus tibetensis	Young1972MNIGP	orig		*	Y	Himalayasaurus tibetensis	urn:lsid:zoobank.org:act:7CDB5708-E15C-4C69-98A1-C2041140D046	Langjiexue Group					Norian	Middle Triassic	Triassic	Tulong Area, Xizang, Tibet, China	CN					urn:lsid:zoobank.org:pub:D2CAD534-D3B0-4B2B-871F-7011E4B1EE74	68
Young1972MNIGP	11	Chaohusaurus geishanensis	Young1972MNIGP	orig		*	Y	Chaohusaurus geishanensis		Qinglong Formation					Spathian	Lower Triassic	Triassic	Chao County, Anhui Province, China	CN						69
Wang1959APS		Nanchangosaurus suni	Wang1959APS	orig		*	Y	Nanchangosaurus suni	urn:lsid:zoobank.org:act:37C7C275-2D57-4FA5-ACDC-6A7CF5D2370E	Jialingjiang Formation					upper Spathian	Lower Triassic	Triassic		CN					urn:lsid:zoobank.org:pub:C31DBAA9-EDA9-4D29-92DD-BFC80461F0F4	70
Chen2014POb	3	Nanchangosaurus suni	Wang1959APS	orig			Y	Nanchangosaurus suni		Jialingjiang Formation					upper Spathian	Lower Triassic	Triassic	Yuan'an County, Hubei Province, China	CN						71
Chen2014PO	3	Parahupehsuchus longus	Chen2014PO	orig		v *	Y	Parahupehsuchus longus	urn:lsid:zoobank.org:act:0B2F1D4D-0435-496F-B1C0-6913F265240F	Jialingjiang Formation					upper Spathian	Lower Triassic	Triassic	Yuan'an County, Hubei Province, China	CN					urn:lsid:zoobank.org:pub:0F2EED52-F0A2-4125-B96A-8E39E9854DBE	72
Fernandez1994A	293	Chacaicosaurus cayi	Fernandez1994A	orig		*	Y	Chacaicosaurus cayi		Les Molles Formation					early Bajocian	Middle Jurassic	Jurassic	Chacaico Sur, Patagonia, Argentina	AR						73
Fernandez2007	277	Stenopterygius cayi	Fernandez1994A	ncomb			N	Chacaicosaurus cayi																	74
Chen1985RGC	140	Anhuisaurus chaoxianensis	Chen1985RGC	orig		*	Y	Chaohusaurus chaoxianensis		Nanlinghu Formation	Upper Member				Spathian, Olenekian	Lower Triassic	Triassic	Majiashan, Anhui  Province, China	CN						75
Chen1985RGC	142	Anhuisaurus faciles	Chen1985RGC	orig		*	Y	Chaohusaurus chaoxianensis		Nanlinghu Formation	Upper Member				Spathian, Olenekian	Lower Triassic	Triassic	Majiashan, Anhui  Province, China	CN						76
